,t,u0,u1,y
6962,42005.0,0.0,2.2182484567901235e-08,
6963,42011.0,0.0,2.2190354938271603e-08,
6964,42017.0,0.0,2.2198225308641975e-08,
6965,42023.0,0.0,2.2206095679012346e-08,
6966,42029.0,0.0,2.2213966049382718e-08,
6967,42035.0,0.0,2.222183641975309e-08,
6968,42041.0,0.0,2.2229706790123454e-08,
6969,42047.0,0.0,2.2237577160493825e-08,
6970,42053.0,0.0,2.2245447530864197e-08,
6971,42059.0,0.0,2.2253317901234568e-08,
6972,42065.0,0.0,2.226118827160494e-08,
6973,42071.0,0.0,2.2269058641975308e-08,
6974,42077.0,0.0,2.227692901234568e-08,
6975,42083.0,0.0,2.2284799382716047e-08,
6976,42089.0,0.0,2.229266975308642e-08,
6977,42095.0,0.0,2.230054012345679e-08,
6978,42103.0,0.0,2.2311033950617286e-08,
6979,42107.0,0.0,2.231628086419753e-08,
6980,42113.0,0.0,2.23241512345679e-08,
6981,42119.0,0.0,2.2332021604938273e-08,
6982,42125.0,0.0,2.2339891975308644e-08,
6983,42131.0,0.0,2.2347762345679012e-08,
6984,42137.0,0.0,2.235563271604938e-08,
6985,42143.0,0.0,2.2363503086419752e-08,
6986,42149.0,0.0,2.2371373456790124e-08,
6987,42155.0,0.0,2.2379243827160495e-08,
6988,42161.0,0.0,2.2387114197530866e-08,
6989,42167.0,0.0,2.239498456790123e-08,
6990,42173.0,0.0,2.2402854938271603e-08,
6991,42179.0,0.0,2.2410725308641974e-08,
6992,42185.0,0.0,2.2418595679012346e-08,
6993,42191.0,0.0,2.2426466049382717e-08,
6994,42197.0,0.0,2.243433641975309e-08,
6995,42203.0,0.0,2.2442206790123457e-08,
6996,42209.0,0.0,2.2450077160493828e-08,
6997,42215.0,0.0,2.2457947530864196e-08,
6998,42221.0,0.0,2.2465817901234568e-08,
6999,42227.0,0.0,2.247368827160494e-08,
7000,42233.0,0.0,2.2481558641975307e-08,
7001,42239.0,0.0,2.248942901234568e-08,
7002,42245.0,0.0,2.249729938271605e-08,
7003,42251.0,0.0,2.2505169753086422e-08,
7004,42257.0,0.0,2.251304012345679e-08,
7005,42263.0,0.0,2.252091049382716e-08,
7006,42269.0,0.0,2.252878086419753e-08,
7007,42275.0,0.0,2.25366512345679e-08,
7008,42281.0,0.0,2.2544521604938272e-08,
7009,42287.0,0.0,2.2552391975308644e-08,
7010,42293.0,0.0,2.2560262345679015e-08,
7011,42299.0,0.0,2.256813271604938e-08,
7012,42307.0,0.0,2.2578626543209875e-08,
7013,42311.0,0.0,2.2583873456790123e-08,
7014,42317.0,0.0,2.2591743827160494e-08,
7015,42325.0,0.0,2.260223765432099e-08,
7016,42329.0,0.0,2.2607484567901234e-08,
7017,42335.0,0.0,2.2615354938271605e-08,
7018,42341.0,0.0,2.2623225308641974e-08,
7019,42347.0,0.0,2.2631095679012345e-08,
7020,42355.0,0.0,2.264158950617284e-08,
7021,42361.0,0.0,2.2649459876543212e-08,
7022,42365.0,0.0,2.2654706790123456e-08,
7023,42371.0,0.0,2.2662577160493828e-08,
7024,42379.0,0.0,2.267307098765432e-08,
7025,42383.0,0.0,2.267831790123457e-08,
7026,42391.0,0.0,2.2688811728395062e-08,
7027,42395.0,0.0,2.2694058641975307e-08,
7028,42401.0,0.0,2.2701929012345678e-08,
7029,42407.0,0.0,2.270979938271605e-08,
7030,42415.0,0.0,2.272029320987654e-08,
7031,42419.0,0.0,2.2725540123456793e-08,
7032,42425.0,0.0,2.2733410493827157e-08,
7033,42431.0,0.0,2.274128086419753e-08,
7034,42437.0,0.0,2.27491512345679e-08,
7035,42443.0,0.0,2.2757021604938272e-08,
7036,42449.0,0.0,2.2764891975308643e-08,
7037,42455.0,0.0,2.2772762345679015e-08,
7038,42461.0,0.0,2.2780632716049383e-08,
7039,42469.0,0.0,2.2791126543209875e-08,
7040,42473.0,0.0,2.2796373456790122e-08,
7041,42479.0,0.0,2.2804243827160494e-08,
7042,42485.0,0.0,2.2812114197530865e-08,
7043,42491.0,0.0,2.2819984567901233e-08,
7044,42497.0,0.0,2.2827854938271605e-08,
7045,42503.0,0.0,2.2835725308641976e-08,
